codigo_pais,pais,dep,ciudad,PROV,nomprov,sec,nombremunicipio,idloc,AsientoElectoral,dist,nomdist,zona,nomzona,CIRCUNDIST,RECI,recinto_electoral,cantidadMesas,inscritos_habilitados,Inhabilitados,Depurados
34,BRASIL,35,RONDONIA,5,GUAJARA MIRIM,1,GUAJARA MIRIM,3778,GUAJARA MIRIM,1,DISTRITO GUAJARA MIRIM,101,ZONA GUAJARA MIRIM,0,25103,CONSULADO,3,710,3,7
34,BRASIL,18,SAO PAULO,1,SAO PAULO,4,CARAPICUÍBA,4386,CARAPICUÍBA,1,DISTRITO CARAPICUÍBA,1,CARAPICUÍBA,0,26098,ESC. MUN. EDUC. FUNDAMENTAL PROFESSORA NAI MOLINA DO AMARAL,4,964,4,0
34,BRASIL,18,SAO PAULO,1,SAO PAULO,2,GUARULHOS,4151,GUARULHOS,1,DISTRITO GUARULHOS,2,ZONA GUARULHOS,0,26121,C-ESCOLA PREFEITURA GUARULHOS PROF. SILVIA DE CASSIA MATIAS,13,2917,9,27
34,BRASIL,18,SAO PAULO,1,SAO PAULO,2,GUARULHOS,4151,GUARULHOS,1,DISTRITO GUARULHOS,2,ZONA GUARULHOS,0,26122,CENTRO DA INTEGRAÇÄO DA CIDADANIA,5,1137,13,1
34,BRASIL,18,SAO PAULO,1,SAO PAULO,5,ITAQUAQUECETUBA,4387,ITAQUAQUECETUBA,1,DISTRITO ITAQUAQUECETUBA,1,ITAQUAQUECETUBA,0,26099,ESCUELA ESTADUAL HOMERO FERNANDO MILANO,5,998,11,0
34,BRASIL,18,SAO PAULO,1,SAO PAULO,3,MAUÁ,4155,MAUÁ,1,DISTRITO JARDIM SANTA ADELIA,1,ZONA F,0,25083,F-ESCOLA ESTADUAL WALTER BELIAN,7,1636,6,19
34,BRASIL,18,SAO PAULO,1,SAO PAULO,6,SAO JOSÉ DO RIO PRETO,4388,SAO JOSÉ DO RIO PRETO,1,DISTRITO SAO JOSÉ DO RIO PRETO,1,SAO JOSÉ DO RIO PRETO,0,26100,ESCOLA MUNICIPAL NICE BEOLCHI NUNES FERREIRA,3,500,8,0
34,BRASIL,18,SAO PAULO,1,SAO PAULO,1,SAO PAULO,3619,SAO PAULO,1,DISTRITO SAO PAULO,101,ZONA A,0,25078,A-ESCUELA ESTADUAL PROF. COLOMBO DE ALMEIDA,19,4297,24,23
34,BRASIL,18,SAO PAULO,1,SAO PAULO,1,SAO PAULO,3619,SAO PAULO,1,DISTRITO SAO PAULO,102,ZONA B,0,25079,B-ESC. MUN. EDU.FUNDAMENTAL VEREADOR ANTONIO SAMPAIO,12,2628,16,33
34,BRASIL,18,SAO PAULO,1,SAO PAULO,1,SAO PAULO,3619,SAO PAULO,1,DISTRITO SAO PAULO,102,ZONA B,0,25200,B-ESCUELA ESTADUAL PROVINCIA DE NAGASAKI,19,4352,21,15
